№з/п,Повне найменування політичної партії,Дата реєстрації політичної партії(дд.мм.рррр),Номер свідоцтва про реєстрацію політичної партії,Адреса місцезнаходження керівних органів місцевої організації партії (юридична адреса)
169.,Політична партія «Інтернет партія України»,01.08.2011,№ 196-п.п.,"04119, м. Київ, вул. Білоруська, буд. 15-Б, кв. 12"
170.,Політична партія «Наш край»,23.08.2011,№ 198-п.п.,"03124, м. Київ, вул. Велика Житомирська, буд. 30"
171.,ПОЛІТИЧНА ПАРТІЯ ДемАльянс (Демократичний альянс),07.09.2011,№ 199-п.п.,"03039, м. Київ, вул. Голосіївська, 13,кв. 117"
172.,Політична партія «Партія українського народу»,10.10.2011,№ 202-п.п.,"01034, м. Київ, вул. О. Гончара, 35"
173.,ПОЛІТИЧНА ПАРТІЯ  «БДЖОЛА»,17.10.2011,№ 203-п.п.,"02055, м. Київ, просп. Петра Григоренка, буд. 22/20, оф. 608"
174.,Політична партія «Духовна Україна»,21.10.2011,№ 204-п.п.,"м. Львів, вул. Грушевського, 7, кв. 2"
175.,Політична партія «Робітнича партія України»,07.11.2011,№ 205-п.п.,"03150, м. Київ, вул. Анрі Барбюса, буд. 13, кв. 13"
176.,Політична партія «ВЛАСНА СИЛА»,11.11.2011,№ 206-п.п.,"02218, м. Київ, вул. Вершигори, 5, кв. 37"
177.,Політична партія «Нові обличчя»,12.03.2012,№ 208-п.п.,"Україна, Київська обл., м. Буча,вул. Польова, 28, кв. 36"
178.,Політична партія «Ліва опозиція»,11.05.2012,№ 211-п.п.,"03062, м. Київ, вул. Ванди Василевської, буд. 7, офіс 331"
179.,ПОЛІТИЧНА ПАРТІЯ «ЄДНІСТЬ ТА РОЗВИТОК»,17.05.2012,№ 212-п.п.,"03150, м. Київ, вул. Ділова, буд. 2б, кв. 2"
180.,ПОЛІТИЧНА ПАРТІЯ «РОЗВИТОК І ДОБРОБУТ»,19.06.2012,№ 213-п.п.,"04071, м. Київ, вулиця Набережно-Лугова, 8"
181.,Політична партія «УКРАЇНА ПОНАД УСЕ»,21.12.2012,№ 214-п.п.,"м. Київ, вул. Ломоносова, буд.60-А, кв.63"
182.,Політична партія «Об’єднання «САМОПОМІЧ»,29.12.2012,№ 215-п.п.,"м. Львів, вул. Сахарова, буд.42"
183.,ПОЛІТИЧНА ПАРТІЯ «ПАРТІЯ ПРОГРЕСУ»,10.04.2013,№ 216-п.п.,"01013, м. Київ, вул. Будіндустрії, буд.6, оф.19"
